municipality,region,years_of_commission,denounce_to_church,year_first_denounce,year_last_denounce,title,number_of_affected,legal_status,press_article,,,,,,,,,,,
puente alto,metropolitana,,,2007,,priest,1,dismissed,https://www.theclinic.cl/2009/07/31/la-historia-de-la-muchacha-virgen-que-acusa-de-violacion-a-un-cura-legionario/?fbclid=IwAR2Nn-UDbkaCUputclErSdg8w41pxMj1SFxbbvVwsyy-1HQAMKIfFlKNEuw,,,,,,,,,,,
puente alto,metropolitana,2014,,2014,,priest,1,,https://www.publimetro.cl/cl/nacional/2014/12/15/padre-menor-abusado-cura-iglesia-merced-mi-objetivo-que-ese-hombre-pague-carcel.html,,,,,,,,,,,
santiago,metropolitana,1980-2000,,2009,2019,cardinal,3,convicted as accesory,https://www.latercera.com/reportajes/noticia/columna-oscar-contardo-regalo-dios/593585/amp/,,,,,,,,,,,
santiago,metropolitana,,,2018,,priest,6,denounced,https://cetra.cl/?p=5285,,,,,,,,,,,
santiago,metropolitana,1981-1983,,1990,2018,priest,8,convicted,,,,,,,,,,,,
santiago,metropolitana,1999-2002,,2002,,priest,8,convicted,,,,,,,,,,,,
santiago,metropolitana,,,2008,,priest,1,,http://www.iglesia.cl/detalle_noticia.php?id=18430,,,,,,,,,,,
santiago,metropolitana,2000s,,2017,,priest,2,denounced,http://www.theclinic.cl/2018/01/15/la-historia-la-denuncia-abuso-sexual-complica-la-iglesia-la-visita-del-papa/,,,,,,,,,,,
santiago,metropolitana,2000s,,2017,,priest,2,denounced,http://www.theclinic.cl/2018/01/15/la-historia-la-denuncia-abuso-sexual-complica-la-iglesia-la-visita-del-papa/,,,,,,,,,,,
santiago,metropolitana,1990s,,2015,2020,priest,3,convicted,https://twitter.com/laotracronopia/status/1286094179521757186,,,,,,,,,,,
santiago,metropolitana,,,2018,,priest,1,,,,,,,,,,,,,
santiago,metropolitana,1990s,,2018,,priest,1,,https://www.jesuitas.cl/comunicado-publico/,,,,,,,,,,,
providencia,metropolitana,1987-1988,,1988,2019,secular,3,indicted,https://www.theclinic.cl/2019/01/15/julio-barahona-abusador-que-los-jesuitas-no-denunciaron-a-tiempo/,,,,,,,,,,,
santiago,metropolitana,1999,,2012,2016,priest,1,,https://www.cooperativa.cl/noticias/pais/iglesia-catolica/compania-de-jesus-sanciono-a-dos-sacerdotes-por-casos-de-abusos/2018-05-31/190208.html,,,,,,,,,,,
santiago,metropolitana,1990,,2012,2018,order superior,6,,https://www.chvnoticias.cl/reportajes/los-testimonios-de-victimas-abusos-y-su-lucha-tras-30-anos-de-silencio_20180621/,,,,,,,,,,,
santiago,metropolitana,1980,,2018,2018,priest,5,denounced,https://mundo.sputniknews.com/america-latina/201806181079673193-nuevo-caso-de-abuso-sexual-en-iglesia-chilena/,,,,,,,,,,,
santiago,metropolitana,2015,,2019,,presbyter,1,indicted,https://www.eldinamo.cl/nacional/2019/03/04/dramatico-testimonio-de-denunciante-de-sacerdote-tito-rivera-fui-violado-en-la-catedral-de-santiago/,,,,,,,,,,,
santiago,metropolitana,1970-1980s,,2017,2019,priest,4,investigated,,,,,,,,,,,,
santiago,metropolitana,,,2018,,priest,,investigated,https://www.latercera.com/nacional/noticia/presente-dulce-agraz-los-hermanos-capuchinos-chile/702580/,,,,,,,,,,,
santiago,metropolitana,,,2018,,priest,3,,http://www.iglesia.cl/detalle_noticia.php?id=38193&fbclid=IwAR2685g1148rxSFw4hp5WRlyFi8XFKzIrgwezHpuGcSmgX8VxtHUdzeHLGI,,,,,,,,,,,
santiago,metropolitana,1979-1988,,1991,2019,priest,1,denounced,https://www.elperiodico.com/es/sociedad/20180107/los-maristas-me-despidieron-por-enfrentarme-a-un-pederasta-6536418,,,,,,,,,,,
santiago,metropolitana,1970-1990s,,2003,1017,priest,19,investigated,,,,,,,,,,,,
santiago,metropolitana,1990s,,2015,2017,priest,8,investigated,,,,,,,,,,,,
santiago,metropolitana,1979-1988,,2017,2019,priest,1,investigated,,,,,,,,,,,,
santiago,metropolitana,1990s,1995,2017,,priest,4,convicted,https://www.cooperativa.cl/noticias/pais/policial/pedofilia/catequista-fue-detenido-por-almacenamiento-de-pornografia-infantil/2017-07-25/225427.html,,,,,,,,,,,
santiago,metropolitana,1979-2015,1982,2011,,presbyter,12,indicted,https://www.emol.com/noticias/Nacional/2018/09/16/920894/El-historial-de-acusaciones-contra-Cristian-Precht.html,,,,,,,,,,,
santiago,metropolitana,1979-1988,,2017,2019,priest,2,investigated,,,,,,,,,,,,
santiago,metropolitana,1970-199s,,2005,2017,priest,4,denounced,https://www.eldesconcierto.cl/2018/06/13/abuso-sexual-y-laboral-de-funcionarias-y-profesoras-el-otro-foco-de-violencia-de-los-hermanos-maristas/,,,,,,,,,,,
santiago,metropolitana,1970s-1990s,,2003,,priest,4,denounced,https://www.emol.com/noticias/Nacional/2018/02/26/896493/Denunciantes-de-Maristas-acusan-a-actual-rector-del-Instituto-Alonso-de-Ercilla-de-ser-complice-de-abusos-sexuales.html,,,,,,,,,,,
santiago,metropolitana,1960s-2000s,1978,2017,,priest,6,dead,https://www.theclinic.cl/2017/10/25/oscuro-sotano-los-maristas/,,,,,,,,,,,
santiago,metropolitana,,1981,2017,,priest,4,dead,https://www.elperiodico.com/es/sociedad/20180107/maristas-chile-admiten-silenciaron-abusos-sexuales-menores-6536118,,,,,,,,,,,
santiago,metropolitana,2011,,2011,2018,priest,9,dismissed,https://www.theclinic.cl/2018/06/07/misterioso-silencio-envuelve-al-prelado-denuncio-abuso-sexual-monsenor-cox/,,,,,,,,,,,
santiago,metropolitana,2015-2018,,2018,2018,priest,1,,,,,,,,,,,,,
san miguel,metropolitana,2010,,2018,,priest,1,denounced,https://www.cooperativa.cl/noticias/pais/iglesia-catolica/denuncia-de-abuso-sexual-remece-a-la-congregacion-marianista-chilena/2018-05-10/123100.html,,,,,,,,,,,
santiago,metropolitana,,,2018,2019,priest,,,https://www.soychile.cl/Santiago/Sociedad/2019/08/26/612487/Salesianos-enviaron-a-la-Fiscalia-antecedentes-de-tres-sacerdotes-denunciados.aspx?utm_source=twitter&utm_medium=ttr&utm_campaign=Followers,,,,,,,,,,,
la cisterna,metropolitana,1980s,,2008,,secular,9,convicted,http://www.revistanos.cl/2012/11/las-caras-del-cura-audin-araya/,,,,,,,,,,,
la cisterna,metropolitana,2016-2017,,2017,2018,priest,1,investigated,https://www.theclinic.cl/2018/01/15/la-historia-la-denuncia-abuso-sexual-complica-la-iglesia-la-visita-del-papa/,,,,,,,,,,,
la cisterna,metropolitana,2008,,2011,,priest,1,dead,https://www.ahoranoticias.cl/noticias/nacional/sacerdote-que-fue-encontrado-muerto-habria-cometido-abuso-sexual.html,,,,,,,,,,,
pedro aguirre cerda,metropolitana,1993-1994,,2019,,priest,,investigated,https://www.biobiochile.cl/noticias/nacional/region-metropolitana/2019/06/24/denuncian-por-abuso-sexual-a-parroco-de-pedro-aguirre-cerda-fue-suspendido-de-sus-funciones.shtml,,,,,,,,,,,
san bernardo,metropolitana,2010,,2010,,vicar,1,dead,https://ciperchile.cl/2010/11/22/sacerdote-que-se-suicido-tras-confesar-abuso-a-menor-fue-vicario-de-educacion-y-exonero-a-profesora-lesbiana/,,,,,,,,,,,
estación central,metropolitana,1980s-1990s,,2019,,priest,6,dead,https://www.latercera.com/nacional/noticia/abogado-de-acusadora-revela-hablando-con-algunos-jesuitas-me-comentaron-de-un-apodo-que-tenia-poblete/505539/,,,,,,,,,,,
estación central,metropolitana,,,2017,2018,priest,1,investigated,,,,,,,,,,,,
estación central,metropolitana,1980s,,2011,,priest,5,,https://ciperchile.cl/2011/10/26/superior-de-los-padres-columbanos-frente-a-denuncia-por-abusos-sexuales-%E2%80%9Cno-voy-a-negar-la-verdad%E2%80%9D/,,,,,,,,,,,
estación central,metropolitana,1994,,2019,2020,secular,2,denounced,https://lavozdelosquesobran.cl/caso-salesianos-denuncian-a-ex-rector-del-colegio-salesianos-alameda-por-abuso-sexual//,,,,,,,,,,,
maipú,metropolitana,2002-2006,,2010,2018,priest,5,indicted,http://www.theclinic.cl/2018/08/14/victima-del-sacerdote-laplagne-relata-abusos-hasbun-me-pregunto-si-senti-placer-durante-el-abuso/,,,,,,,,,,,
pudahuel,metropolitana,,,2018,,priest,6,convicted,https://cetra.cl/?p=5285,,,,,,,,,,,
maipú,metropolitana,2008-2009,,2015,2017,priest,1,convicted,https://www.biobiochile.cl/especial/noticias/reportajes/reportajes-reportajes/2017/07/19/condenan-al-vicerrector-del-santuario-nacional-de-maipu-por-abuso-sexual-de-un-menor.shtml,,,,,,,,,,,
maipú,metropolitana,1990s-2000s,,2008,2012,priest,5,,https://ciperchile.cl/2013/05/20/el-historial-de-abusos-del-capellan-de-colegios-que-ultrajo-a-menores-en-lebu-y-maipu/,,,,,,,,,,,
maipú,metropolitana,1980s-1990s,,2012,2018,priest,1,denounced,,,,,,,,,,,,
san josé de maipo,metropolitana,1995-2001,,2018,2018,presbyter,1,,,,,,,,,,,,,
melipilla,metropolitana,2010,,2010,,priest,4,convicted,https://m.elmostrador.cl/noticias/pais/2011/05/13/a-10-anos-de-carcel-condenan-a-ex-parroco-de-melipilla/,,,,,,,,,,,
alhué,metropolitana,2004,,2004,,priest,1,,http://www.estrellaarica.cl/site/edic/20040709054013/pags/20040709063825.html,,,,,,,,,,,
codegua,o'higgins,,,2016,2018,priest,1,,https://www.24horas.cl/nacional/denuncian-a-cura-pedro-barrientos-de-abusos-sexuales-en-el-monasterio-los-trapenses-lo-mire-como-mi-papa-y-de-eso-se-aprovecho-3170646,,,,,,,,,,,
rancagua,o'higgins,2004-2005,,2006,,secular,2,convicted,https://www.cooperativa.cl/noticias/pais/region-de-ohiggins/cottolengo/a-15-anos-de-carcel-fue-condenado-ex-director-del-pequeno-cottolengo-de/2006-08-11/135458.html,,,,,,,,,,,
rancagua,o'higgins,2018,,2019,,secular,12,indicted,https://www.latercera.com/la-tercera-pm/noticia/detienen-a-orientador-de-colegio-de-rancagua-por-pornografia-infantil-708-imagenes-y-al-menos-13-ninos-afectados/474123/,,,,,,,,,,,
rancagua,o'higgins,2002-2013,,2016,,secular,,convicted,,,,,,,,,,,,
rancagua,o'higgins,1970-1990s,,2000,2017,priest,19,investigated,,,,,,,,,,,,
